,리뷰수(개),평점,평균 연봉(만)
대한무역투자진흥공사,1612,3.6,4191
삼일회계법인,1451,3.4,6399
한영회계법인,1269,3.2,5784
안진회계법인,1182,3.3,5460
대한민국 육군,1179,3.0,3468
삼정회계법인,1146,3.3,6367
한국과학기술연구원,995,3.8,5068
한국환경공단,840,3.7,3535
한국국제협력단,779,3.5,4073
(주)한국능률협회컨설팅,777,2.9,5438
소상공인시장진흥공단,772,3.2,3246
한국전자기술연구원,770,3.3,6191
한국화학연구원,744,3.8,4686
한국생산기술연구원,737,3.7,4565
(주)윕스,694,2.7,3581
닐슨아이큐코리아(유),690,2.6,3897
김앤장법률사무소,671,3.2,4831
도로교통공단,654,3.5,3295
한국생산성본부,642,3.4,5538
대한민국 공군,639,3.4,3208
건강보험심사평가원,637,3.7,4188
중소벤처기업진흥공단,574,3.7,4933
한국리서치(주),563,2.9,5048
(주)칸타코리아,550,3.1,4607
한국교통안전공단,544,3.5,4278
입소스(주),532,2.6,3991
한국산업기술시험원,506,3.7,4902
삼정케이피엠지(주),476,3.2,5974
어린이급식관리지원센터,447,2.8,2456
한국전자통신연구원,436,4.1,5028
한국교육개발원,434,2.8,3369
한국생명공학연구원,426,3.3,4757
사회복지법인어린이재단,417,3.4,3685
(사)한국능률협회,377,2.6,4904
(재)한국원자력연구원,365,4.1,5791
한국농수산식품유통공사,358,3.9,3564
딜로이트컨설팅(유),356,3.3,6779
한국환경산업기술원,352,3.2,4275
(주)엑스퍼트컨설팅,349,2.7,3309
대한민국 국회,341,3.1,3776
한국아이큐비아(주),341,3.3,5586
한국관광공사,340,3.8,3845
(주)마크로밀엠브레인,333,2.8,3855
한국무역협회(사),327,4.0,6017
(주)엘에스케이글로벌파마서비스,315,2.4,4203
한국정보통신기술협회,314,2.9,4776
한국과학기술기획평가원,305,3.6,6096
대한상공회의소,302,3.4,4691
한국세라믹기술원,301,3.2,3586
(주)채선당,283,2.9,3567
한국에너지공단,282,3.0,4167
한국사회보장정보원,280,2.9,3696
한국직업능력연구원,277,3.5,3165
한국고용정보원,270,3.7,4057
농림축산검역본부,267,2.7,3154
한국인터넷진흥원,267,3.6,4620
(재)대구경북과학기술원,266,3.5,4934
더보스톤컨설팅그룹인터내셔날인크,264,4.1,8731
한국과학기술정보연구원,263,4.0,5205
대한민국 해군,254,3.0,2999
경기도교육청,252,3.3,3557
서울시교육청,251,3.6,3402
(주)두산,250,3.3,5514
한국해양과학기술원,250,3.4,4402
서울시설공단,244,3.8,3826
한국개발연구원,244,3.6,4609
한국보건산업진흥원,241,2.9,4102
한국교육학술정보원,240,3.8,4492
한국보건복지인재원,238,2.7,3164
(재)한국기계전기전자시험연구원,237,3.3,4693
(재)한국에너지기술연구원,237,3.9,4922
에이티커니코리아(유),235,3.3,6357
법무법인(유)광장,231,2.9,3914
(주)엘에스,230,3.2,5025
마콜컨설팅그룹(주),229,3.0,4376
특허법인 리앤목,226,2.7,3143
(주)해커스어학연구소,225,2.3,3260
(주)드림씨아이에스,224,3.1,4069
한국철도기술연구원,222,4.0,4547
이랜드 ESI,217,3.1,4217
한국법무보호복지공단,214,2.4,3310
(재)경기도일자리재단,213,2.8,3717
한국소비자원,213,3.7,3945
경기신용보증재단,210,3.4,5821
법무법인(유)태평양,209,3.2,3974
한국기계연구원,209,3.7,4936
농촌진흥청,207,3.5,3202
선거관리위원회,204,3.9,3800
한국문화관광연구원,204,3.0,3542
베인앤드컴퍼니코리아인크(주),203,4.1,8321
한국표준과학연구원,201,4.0,5752
(주)메디헬프라인,199,1.8,3643
(주)한국갤럽조사연구소,194,2.7,3960
한국산업기술진흥원,191,3.3,4069
국립수산과학원,190,3.3,3314
사회복지법인사회복지공동모금회,190,3.4,4155
(재)대구테크노파크,189,3.2,3831
한국문화재재단,186,2.8,2922
(재)한국지질자원연구원,185,4.1,5881
한국환경연구원,184,3.4,4213
법무법인세종,182,3.2,4128
한국건설기술연구원,181,3.7,3773
(재)한국과학창의재단,180,3.0,4873
한국해양수산개발원,180,3.4,4057
한국원자력의학원,177,2.7,4479
중소기업기술정보진흥원,174,2.5,3769
한국저작권위원회,173,2.9,3479
한국건강가정진흥원,169,2.5,3181
신승회계법인,168,2.8,2853
한국행정연구원,167,2.7,3955
국토연구원,164,3.2,3718
동원엔터프라이즈(주),163,2.4,4266
한국교통연구원,163,3.4,3649
에프에이모스트(주),162,3.0,2969
창업진흥원,161,2.7,4610
(주)기술과가치,160,2.1,3954
성창기업지주(주),159,2.0,3600
국방부,158,3.4,3954
정보통신산업진흥원,157,3.6,4048
한국식품연구원,154,3.3,4006
(주)스마일게이트홀딩스,153,3.3,5539
식품안전정보원,151,2.7,3293
한국소방산업기술원,151,3.4,4211
특허정보진흥센터,147,3.2,4004
인터브랜드(주),146,3.1,4232
인포마스터(주),146,2.5,3618
(재)서울연구원,144,3.4,4028
인바이츠바이오코아(주),144,2.2,3465
한국식품안전관리인증원,144,3.1,3421
(재)한국산업관계연구원,143,1.9,3279
한국보훈복지의료공단,142,3.0,3846
서울올림픽기념국민체육진흥공단,141,3.9,4128
지에프케이리테일앤테크놀로지코리아리미티드(주),141,2.7,4408
(주)더비엔아이,139,2.1,3692
노사발전재단,139,3.3,3508
중소기업중앙회,139,3.4,5615
(재)차세대융합기술연구원,138,3.4,4441
대한법률구조공단,138,3.4,3567
케이티지(주),138,2.2,3202
(주)헬릭스미스,135,2.4,4072
언스트앤영어드바이저리(주),135,3.3,5950
국립생태원,133,3.2,4183
김대중컨벤션센터,133,3.1,3026
한국보육진흥원,133,2.4,2873
한국산업기술기획평가원,133,4.0,4392
리서치랩(주),132,3.0,3414
인천테크노파크(재),132,3.0,3131
한국청소년활동진흥원,132,3.1,3223
(사)한국정보통신진흥협회,131,2.8,4252
(주)리서치앤리서치,131,2.5,3439
(주)제이엠커리어,131,2.8,2510
한국조세재정연구원,128,3.8,4356
맥킨지인코포레이티드한국지점,126,4.3,9026
(주)디티앤씨알오,124,2.0,3783
